Ticker,close,date,high,low,month,open,volume,month_folder
NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044,2023-10
NTPC,235.15,2023-10-04 05:30:00,241.0,231.5,2023-10,241.0,25424437,2023-10
NTPC,233.85,2023-10-05 05:30:00,237.4,232.05,2023-10,237.25,22472389,2023-10
NTPC,235.55,2023-10-06 05:30:00,237.5,233.65,2023-10,234.25,8825123,2023-10
NTPC,234.7,2023-10-09 05:30:00,236.3,230.5,2023-10,233.85,10659145,2023-10
NTPC,235.9,2023-10-10 05:30:00,236.85,233.75,2023-10,234.9,11665907,2023-10
NTPC,238.7,2023-10-11 05:30:00,239.7,236.0,2023-10,236.25,14313043,2023-10
NTPC,241.6,2023-10-12 05:30:00,242.75,238.6,2023-10,238.95,13170027,2023-10
NTPC,242.05,2023-10-13 05:30:00,243.8,239.6,2023-10,240.55,11880728,2023-10
NTPC,243.45,2023-10-16 05:30:00,245.0,241.0,2023-10,242.85,6936948,2023-10
NTPC,245.95,2023-10-17 05:30:00,247.2,243.3,2023-10,244.85,10084205,2023-10
NTPC,242.0,2023-10-18 05:30:00,246.8,241.6,2023-10,245.9,6987265,2023-10
NTPC,239.5,2023-10-19 05:30:00,241.8,238.5,2023-10,240.2,11485237,2023-10
NTPC,241.0,2023-10-20 05:30:00,242.15,237.55,2023-10,238.95,9040953,2023-10
NTPC,236.55,2023-10-23 05:30:00,240.9,235.0,2023-10,240.8,7058625,2023-10
NTPC,232.05,2023-10-25 05:30:00,236.3,228.35,2023-10,236.0,23949207,2023-10
NTPC,231.65,2023-10-26 05:30:00,233.3,227.75,2023-10,230.85,17410264,2023-10
NTPC,236.6,2023-10-27 05:30:00,238.45,232.0,2023-10,232.0,10519462,2023-10
NTPC,234.6,2023-10-30 05:30:00,238.4,230.65,2023-10,237.45,8812268,2023-10
NTPC,235.8,2023-10-31 05:30:00,237.2,233.55,2023-10,234.5,6583581,2023-10
NTPC,232.6,2023-11-01 05:30:00,236.7,232.1,2023-11,236.7,6718059,2023-11
NTPC,235.25,2023-11-02 05:30:00,235.7,233.75,2023-11,234.2,6057787,2023-11
NTPC,234.35,2023-11-03 05:30:00,235.25,233.3,2023-11,233.3,6825146,2023-11
NTPC,235.85,2023-11-06 05:30:00,237.2,234.55,2023-11,235.35,5338605,2023-11
NTPC,239.15,2023-11-07 05:30:00,239.55,235.2,2023-11,236.3,7002346,2023-11
NTPC,236.7,2023-11-08 05:30:00,240.9,235.95,2023-11,239.85,9777991,2023-11
NTPC,237.95,2023-11-09 05:30:00,239.7,236.0,2023-11,237.2,13987058,2023-11
