Ticker,close,date,high,low,month,open,volume,month_folder
TATASTEEL,128.0,2023-10-03 05:30:00,129.1,127.25,2023-10,129.0,18613557,2023-10
TATASTEEL,125.3,2023-10-04 05:30:00,127.1,124.5,2023-10,127.0,33272725,2023-10
TATASTEEL,125.25,2023-10-05 05:30:00,126.15,124.55,2023-10,125.9,27063441,2023-10
TATASTEEL,125.9,2023-10-06 05:30:00,127.0,125.1,2023-10,126.5,21928671,2023-10
TATASTEEL,123.85,2023-10-09 05:30:00,124.9,122.6,2023-10,124.8,21457836,2023-10
TATASTEEL,125.3,2023-10-10 05:30:00,125.9,123.75,2023-10,124.7,28745957,2023-10
TATASTEEL,124.95,2023-10-11 05:30:00,126.3,124.7,2023-10,126.0,24455932,2023-10
TATASTEEL,125.9,2023-10-12 05:30:00,126.9,125.1,2023-10,125.35,19361688,2023-10
TATASTEEL,125.05,2023-10-13 05:30:00,125.75,124.0,2023-10,125.0,26912800,2023-10
TATASTEEL,127.0,2023-10-16 05:30:00,127.25,124.95,2023-10,125.1,23868700,2023-10
TATASTEEL,127.4,2023-10-17 05:30:00,128.55,127.0,2023-10,127.9,24241710,2023-10
TATASTEEL,127.1,2023-10-18 05:30:00,128.7,126.6,2023-10,127.85,20926079,2023-10
TATASTEEL,126.0,2023-10-19 05:30:00,126.5,124.35,2023-10,125.5,30941319,2023-10
TATASTEEL,123.1,2023-10-20 05:30:00,125.75,122.7,2023-10,125.0,30746140,2023-10
TATASTEEL,120.0,2023-10-23 05:30:00,123.4,119.7,2023-10,123.35,30699479,2023-10
TATASTEEL,121.35,2023-10-25 05:30:00,122.8,120.75,2023-10,121.2,27346103,2023-10
TATASTEEL,119.9,2023-10-26 05:30:00,120.9,118.9,2023-10,120.85,36298907,2023-10
TATASTEEL,119.9,2023-10-27 05:30:00,121.8,119.5,2023-10,120.5,28424007,2023-10
TATASTEEL,119.15,2023-10-30 05:30:00,121.25,118.95,2023-10,121.05,18753217,2023-10
TATASTEEL,118.75,2023-10-31 05:30:00,120.15,118.4,2023-10,120.0,22319950,2023-10
TATASTEEL,116.6,2023-11-01 05:30:00,119.1,116.0,2023-11,119.0,24717941,2023-11
TATASTEEL,118.1,2023-11-02 05:30:00,118.55,114.6,2023-11,114.6,72538804,2023-11
TATASTEEL,117.3,2023-11-03 05:30:00,118.6,117.1,2023-11,118.2,31747230,2023-11
TATASTEEL,119.4,2023-11-06 05:30:00,119.65,117.5,2023-11,118.5,27883152,2023-11
TATASTEEL,119.65,2023-11-07 05:30:00,120.2,118.4,2023-11,119.3,25818033,2023-11
TATASTEEL,119.05,2023-11-08 05:30:00,120.5,118.55,2023-11,119.75,22552386,2023-11
TATASTEEL,119.65,2023-11-09 05:30:00,120.5,118.85,2023-11,119.2,22979112,2023-11
TATASTEEL,120.05,2023-11-10 05:30:00,120.45,118.8,2023-11,119.5,23584510,2023-11
TATASTEEL,120.85,2023-11-12 05:30:00,121.6,120.6,2023-11,121.6,3984034,2023-11
TATASTEEL,121.0,2023-11-13 05:30:00,121.25,119.9,2023-11,120.85,17951775,2023-11
TATASTEEL,124.05,2023-11-15 05:30:00,124.4,121.5,2023-11,121.7,38344393,2023-11
TATASTEEL,124.7,2023-11-16 05:30:00,125.25,123.0,2023-11,124.0,30836413,2023-11
TATASTEEL,125.2,2023-11-17 05:30:00,125.75,124.3,2023-11,124.7,23319439,2023-11
TATASTEEL,124.35,2023-11-20 05:30:00,125.65,124.05,2023-11,125.05,18780290,2023-11
TATASTEEL,126.25,2023-11-21 05:30:00,126.4,124.95,2023-11,125.05,29643312,2023-11
TATASTEEL,126.1,2023-11-22 05:30:00,126.9,125.5,2023-11,126.4,19588063,2023-11
TATASTEEL,126.7,2023-11-23 05:30:00,127.4,125.9,2023-11,126.35,30736851,2023-11
TATASTEEL,125.95,2023-11-24 05:30:00,127.0,125.55,2023-11,126.7,14719450,2023-11
TATASTEEL,126.85,2023-11-28 05:30:00,127.0,126.0,2023-11,127.0,18377843,2023-11
TATASTEEL,127.75,2023-11-29 05:30:00,128.15,126.7,2023-11,127.15,23092165,2023-11
TATASTEEL,127.9,2023-11-30 05:30:00,128.85,126.5,2023-11,127.8,40165104,2023-11
